time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-29 00:00:00+00:00,,,2,2
2023-10-30 00:00:00+00:00,1.0,1.0,110,15
2023-10-31 00:00:00+00:00,,,94,12
2023-11-01 00:00:00+00:00,,,12,4
2023-11-02 00:00:00+00:00,,,7,5
2023-11-03 00:00:00+00:00,1.0,1.0,85,14
2023-11-04 00:00:00+00:00,1.0,1.0,19,3
2023-11-05 00:00:00+00:00,,,5,3
2023-11-06 00:00:00+00:00,,,51,7
2023-11-07 00:00:00+00:00,,,97,13
2023-11-08 00:00:00+00:00,,,36,6
2023-11-09 00:00:00+00:00,,,52,9
2023-11-10 00:00:00+00:00,,,51,9
2023-11-11 00:00:00+00:00,,,1,1
