time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-02 00:00:00+00:00,1.0,1.0,,
2025-09-03 00:00:00+00:00,1.0,1.0,6.0,3.0
2025-09-04 00:00:00+00:00,2.0,2.0,23.0,10.0
2025-09-05 00:00:00+00:00,,,7.0,4.0
2025-09-06 00:00:00+00:00,,,2.0,2.0
2025-09-07 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-09-08 00:00:00+00:00,,,1.0,1.0
2025-09-09 00:00:00+00:00,1.0,1.0,12.0,7.0
2025-09-10 00:00:00+00:00,,,6.0,4.0
2025-09-11 00:00:00+00:00,1.0,1.0,9.0,6.0
2025-09-12 00:00:00+00:00,,,28.0,7.0
2025-09-13 00:00:00+00:00,1.0,1.0,6.0,3.0
2025-09-14 00:00:00+00:00,1.0,1.0,2.0,2.0
2025-09-15 00:00:00+00:00,5.0,2.0,26.0,8.0
