url_path,views_total,views_unique
/NSBLab/BrainEigenmodes,34,22
/NSBLab/BrainEigenmodes/blob/main/cover_image.jpg,12,4
/NSBLab/BrainEigenmodes/tree/main,10,6
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,9,7
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_analysis.m,6,5
/NSBLab/BrainEigenmodes/tree/main/data,5,3
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,4,4
/NSBLab/BrainEigenmodes/blob/main/demo_connectome_eigenmode_calculation.m,4,3
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_calculation.sh,4,3
/NSBLab/BrainEigenmodes/blob/main/demo_wave_model_simulation.m,3,3
