url_path,views_total,views_unique
/NSBLab/BrainEigenmodes/tree/main/data,11,4
/NSBLab/BrainEigenmodes,8,6
/NSBLab/BrainEigenmodes/tree/main,3,2
/NSBLab/BrainEigenmodes/tree/main/data/template_eigenmodes,3,2
/NSBLab/BrainEigenmodes/blob/986543aad2b921e9f51e4a26bec41f147ddf166f/functions_matlab/calc_parcellate.m,3,1
/NSBLab/BrainEigenmodes/blob/main/README.md,3,1
/NSBLab/BrainEigenmodes/blob/main/volume_eigenmodes.py,3,1
/NSBLab/BrainEigenmodes/tree/main/data/empirical,2,2
/NSBLab/BrainEigenmodes/tree/main/data/parcellations,2,2
/NSBLab/BrainEigenmodes/tree/main/data/results,2,2
